"","Credit","balance_credit_acc","duration","moral","verw","hoehe","sparkont","beszeit","rate","famges","buerge","wohnzeit","verm","alter","weitkred","wohn","bishkred","beruf","pers","telef","gastarb"
"74","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","used car",929," >= 1000,- DM","4 <= ... < 7 years","< 20","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",31,"at department store or mail order house","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"75","Good","0 <= ... <= 200",12,"no previous credits / paid back all previous credits","items of furniture",3399," >= 1000,- DM",">= 7 years","25 <= ... < 35","male: married / widowed","none","4 <= ... < 7 years","Savings contract with a building society / Life insurance",37,"no further running credits","rented flat","one","executive / self-employed / higher civil servant","3 and more","no","yes"
"76","Good","no balance or debit",9,"no previous credits / paid back all previous credits","used car",2030," >= 1000,- DM","4 <= ... < 7 years","25 <= ... < 35","male: married / widowed","none","< 1 year","Savings contract with a building society / Life insurance",24,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"77","Good"," ... >= 200 DM or checking account for at least 1 year",21,"paid back previous credits at this bank","new car",3275,"not available / no savings",">= 7 years",">= 35","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",36,"no further running credits","rented flat","one","executive / self-employed / higher civil servant","3 and more","yes","yes"
"78","Good"," ... >= 200 DM or checking account for at least 1 year",24,"paid back previous credits at this bank","other",1940,"500,- <= ... < 1000,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","not available / no assets",60,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"79","Good","no running account",21,"paid back previous credits at this bank","other",1602,"not available / no savings",">= 7 years","< 20","female: single","none","4 <= ... < 7 years","Savings contract with a building society / Life insurance",30,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"80","Good"," ... >= 200 DM or checking account for at least 1 year",15,"no previous credits / paid back all previous credits","items of furniture",1979," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",35,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"81","Good"," ... >= 200 DM or checking account for at least 1 year",24,"paid back previous credits at this bank","other",2022,"not available / no savings","1 <= ... < 4 years","< 20","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",37,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"82","Good"," ... >= 200 DM or checking account for at least 1 year",36,"paid back previous credits at this bank","items of furniture",3342," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",51,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"83","Good","no balance or debit",18,"no previous credits / paid back all previous credits","other",5866,"< 100,- DM","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",30,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"84","Good","0 <= ... <= 200",15,"paid back previous credits at this bank","new car",2360,"100,- <= ... < 500,- DM","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",36,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"85","Good"," ... >= 200 DM or checking account for at least 1 year",15,"paid back previous credits at this bank","used car",1520," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Car / Other",63,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"86","Good","no running account",12,"no previous credits / paid back all previous credits","other",3651,"500,- <= ... < 1000,- DM","1 <= ... < 4 years",">= 35","male: married / widowed","none","4 <= ... < 7 years","Car / Other",31,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"87","Good"," ... >= 200 DM or checking account for at least 1 year",24,"paid back previous credits at this bank","new car",2346,"not available / no savings","4 <= ... < 7 years","< 20","male: married / widowed","none","4 <= ... < 7 years","Savings contract with a building society / Life insurance",35,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"88","Good"," ... >= 200 DM or checking account for at least 1 year",36,"no problems with current credits at this bank","items of furniture",4454,"not available / no savings","1 <= ... < 4 years","< 20","female: divorced / living apart / married","none",">= 7 years","not available / no assets",34,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"89","Good","no running account",6,"paid back previous credits at this bank","other",666,"500,- <= ... < 1000,- DM","4 <= ... < 7 years","20 <= ... < 25","female: divorced / living apart / married","none",">= 7 years","not available / no assets",39,"no further running credits","rented flat","two or three","unskilled with permanent residence","3 and more","yes","yes"
"90","Good","no balance or debit",24,"no problems with current credits at this bank","other",1965," >= 1000,- DM","1 <= ... < 4 years","< 20","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",42,"no further running credits","free apartment","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"91","Good","no balance or debit",12,"paid back previous credits at this bank","other",1995,"< 100,- DM","<= 1 year","< 20","male: married / widowed","none","< 1 year","Savings contract with a building society / Life insurance",27,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"92","Good","no balance or debit",30,"no previous credits / paid back all previous credits","items of furniture",2991," >= 1000,- DM",">= 7 years","25 <= ... < 35","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",25,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"93","Good","no balance or debit",30,"hesitant payment of previous credits","retraining",4221,"not available / no savings","1 <= ... < 4 years","25 <= ... < 35","female: divorced / living apart / married","none","< 1 year","Savings contract with a building society / Life insurance",28,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"94","Good","no running account",9,"no previous credits / paid back all previous credits","items of furniture",1364,"not available / no savings","4 <= ... < 7 years","20 <= ... < 25","male: married / widowed","none",">= 7 years","not available / no assets",59,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"95","Good","no balance or debit",18,"paid back previous credits at this bank","used car",6361,"not available / no savings",">= 7 years","25 <= ... < 35","male: married / widowed","none","< 1 year","Ownership of house or land",41,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"96","Good"," ... >= 200 DM or checking account for at least 1 year",27,"paid back previous credits at this bank","used car",4526,"500,- <= ... < 1000,- DM","<= 1 year","< 20","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",32,"at department store or mail order house","rented flat","two or three","unskilled with permanent residence","0 to 2","yes","yes"
"97","Good","no balance or debit",12,"paid back previous credits at this bank","items of furniture",3573,"not available / no savings","1 <= ... < 4 years",">= 35","female: divorced / living apart / married","none","< 1 year","not available / no assets",23,"no further running credits","rented flat","one","unskilled with permanent residence","3 and more","no","yes"
